Arabic Word,English Translation
Your breakfast,إفطارك
Directly,مباشرا
Politics,السياسه
I warn you,أحذّرك
Both directions,الاتجاهين
Information,المعلوماتِ
Fabrics,الأقمشة
For series,لسلسلة
Jacuzzi,الجاكوزي
They joke,يمزحون
Forced,مضطرّاً
You tie him up,تربطه
And it's over,وانتهت
Funny,مُضحكة
Nizar,نزار
The moment,اللحظةِ
Psychological,النفسيه
Our religion,ديننا
He proceeded,شرع
For two seconds,لثانيتين
diagnostic,تشخيصي
Disappointing,مخيبة
My past,ماضيي
Traces,آثاراً
For a lesson,لدرس
trick,حيله
Jericho,جيركو
Her injury,إصابتها
Centenary,المئوية
They come,يجيئون
I take them,آخذهم
Allegations,الإدعاءات
Water,المـاء
Do you want it?,أتريدها
hermit,الناسك
I will cover,سأغطي
To exist,للتواجد
Old women,عجائز
German,الماني
He catches,يُمسك
The elderly woman,المسنة
Descendant,سليل
My dreams,أحلامى
I will talk,ساتحدث
elected,منتخب
I broke it,كسرتها
Their actions,أفعالهم
He buys it,يشتريها
unless,الآ
Overflowing,فاض
produced,أنتجت
Invite me,ادعوني
Please,فضلِك
Freedoms,الحريات
rebuke,توبيخ
reality,واقعٌ
Either,سواءاً
Margin,الهامش
Hold it,إمساكه
.command,.الأمر
harmonic,متناسق
Convergence,التقارب
Dropped,أسقطوا
Try it,حاولو
Idealism,المثاليّة
Conroy,كونروي
Page,بيدج
upheaval,هيجان
Hon,ياحضرة
balcony,شرفه
Innocent,بريئه
A way out,مخرجا
Surprise,مفاجئه
And her name,واسمها
Eat,تناولى
Charming,تشارمينغ
I get married,أتزوّج
Tact,اللباقة
Hola,هولا
Is it worth it?,أيجدر
S,ســ
You will break,ستكسر
Distraction,الإلهاء
As a worker,كعامل
His chair,كرسيه
With colors,بألوان
I walk,أمشى
We will check,سنتحقق
Take away,يسلب
rabbit,ارنب
You will reach,ستبلغ
Her computer,حاسوبها
discomfort,مشقة
We get drunk,نثمل
My cigarettes,سجائري
For the number,للرقم
Leaking,يسرب
By visiting me,بزيارتي
My effort,جهدى
Exclusivity,الحصرية
Trapped,حبيسة
Freeze,فريز
Matrix,مصفوفة
By pursuit,بملاحقة
Preview,معاينة
Appointment,التعيين
Damaged,تالفة
I'm talking to him,بأكلمه
For members,للأعضاء
The reputation,الصيت
attacker,مهاجم
Kishan,كيشان
Candidates,مرشحين
Positions,مناصب
Tippy,تيبي
I find you,أجدكِ
radiant,مشع
Polite,المهذب
burning,إحتراق
eavesdropping,تصنت
Excited,منفعلة
Ribs,الضلوع
planetary,كوكبي
Cable,كيبل
Cheney,تشيني
The occasion,المُناسبة
Finally,واخيراً
To go,لذِهاب
A stone,حجراً
I applied,أقدمت
Depending,اعتماداً
to,إلىَ
Ivan,أيفان
gauze,الشاش
Diarrhea,إسهال
Why?,لِـمَ
uterine,رحمي
With effect,بتأثير
Ethics,الاخلاق
Your liver,كبدك
Shaolin,شاولين
The specialist,المتخصص
My revenge,انتقامي
Dorota,دوروتا
I'm not interested,لاأهتم
They retreated,تراجعا
Understands,يستوعب
haste,عجالة
Geronimo,جيرونيمو
Your neighbor,جارتك
It helps me,يُساعدُني
There is,بتواجد
Massage,المساج
We arranged,رتبنا
You ran away,هربتي
Excessive,أفرط
Kenji,كينجي
Egan,إيغان
Saying,القَول
To make it,لأجعلها
And black,وأسود
Spraying,الرش
Irish,الايرلندي
I know you,أعرّفك
Wake up,أفاق
Moo,موو
I cared,إهتممت
Sell ​​it,يبيعه
And correctly,وبصحة
Your insurance,تأمينك
We are waiting for her,ننتظرها
Hunk,هونك
He misses you,يفتقدك
Between us,بيننـا
Your obsession,هوسك
You will recover,ستستعيد
Brilliant,بارعًا
It is called,يُسمّى
They sacrificed,ضحوا
With a circle,بدائرة
Your story,قصّتك
Email,الإيميل
Belize,بليز
You will go,ستذهبي
I stayed still,سكنت
snob,المقلد
He forgives me,يسامحني
Bloody,دامية
A man,رجُلاً
Noodles,الشعرية
connecticut,كونيكتيكت
exhausted,مُرهق
My father,أبــي
Stupid,اغبى
Ismael,اسماعيل
With inflammation,بإلتهاب
Yeshy,يشي
Because of you,بسببكم
The breasts,النهود
Impression,إنطباعاً
birth,الولاده
Virginity,بتولي
It will become,سيُصبح
I swear,أحلف
Cages,أقفاص
Come to us,تأتينا
A widower,أرمل
The paper,الورقه
Sexual,الجنسى
disguised,متنكر
I'm watching you,اراقبك
Myron,مايرون
They talk,يتكلموا
He plays it,يلعبها
Lucky,محظوظًا
end,نهايةِ
You got married?,تزوجتِ
I miss,افوت
As a suspect,كمشتبه
Orion,أوريون
His answer,إجابته
Barbarians,البرابرة
Wow,لوو
Failure,الإخفاق
And the thirty,والثلاثون
To implement,للتنفيذ
My vacation,إجازتي
Notarized,موثقة
Buzzer,الطنان
Avoid it,تجنبها
Young man,شابًا
Arrest you,إعتقالك
Polish,البولندي
What you do,ماتفعلينه
Its inhabitants,سكانها
bearings,اتجاهات
Follow me,اتبعنى
searchlight,كشاف
I will throw,سألقى
Thatcher,تاتشر
For John,لجون
Myths,خرافات
wins,يفز
Their money,مالهم
pistol,مُسدّس
Our culture,ثقافتنا
pat,تربيته
He marries her,يتزوجها
With a dog,بكلب
And they were,وكانا
Love,الحـب
And we look,وننظر
I closed it,أغلقته
Inevitability,حتمية
My strength,قوتى
The two investigators,المحققان
Chester,تشستر
To his face,لوجهه
That I am,باأنني
practically,عمليًا
Edit,يحرر
I made it up,إختلقت
error,سقطة
For convenience,لراحة
Single,المنفردة
Letting go,الإستغناء
Voluntarily,طوع
External,الخارجيه
With protection,بالحماية
By battle,بالمعركة
You got caught,قبضتم
Arabs,عرب
Trust,ثقِ
I walk around,اتجول
Asian,آسيوية
Be it,تكنّ
They broke up,انفصلوا
Grant us,امنحنا
My business,وشأنى
Alexander,الإسكندر
Awe,رهبة
Fold,طيّ
Our schedule,جدولنا
I can,فبإمكاني
My hands,أيديي
Woody,وودى
A contract,عقدا
Hurting her,إيذائها
subsidiary,أعانى
With dignity,بكرامة
And crying,والبكاء
Stamps,طوابع
Crane,كران
bad,سيءٌ
Your ball,كرتك
He calls,يَدْعو
Data,المعطيات
Reassuring,مطمئنة
Their ability,قدرتهم
They do,يفعلو
Punish me,تعاقبني
Friends,الأصحاب
The usual,المُعتاد
Let's kill,لنقتل
Back,الخلفيّ
With a racket,بالمضرب
You received me,وردتني
Face it,واجهي
Man,يارجُل
The studio,الأستديو
Dixon,ديكسن
Medina,مدينا
Reply,أُردْ
Obese people,البدناء
Madison,ماديسن
foot,سفح
Bateman,بيتمان
And you are,وأنكم
These,هاؤلاء
My rating,تقيمي
His pain,ألمه
Alba,ألبا
Botwin,بوتوين
Chronic,المزمن
Do you want?,أتُريدين
She tells you,تخبركِ
With a bathroom,بحمام
They blew up,فجروا
Corky,كوركي
Mix,يخلط
Hachi,هاتشي
And determine,وتحديد
Receive it,إيصاله
Calculators,الحاسبات
I fuck her,أضاجعها
To hack,لاختراق
I'm sorry,أتأسف
It breaks,تنقطع
Your breasts,ثدييك
What you want,مبتغاك
You will do it,ستفعلينها
You ride,تركبين
