Arabic Word,English Translation
إفطارك,Your breakfast
مباشرا,Directly
السياسه,Politics
أحذّرك,I warn you
الاتجاهين,Both directions
المعلوماتِ,Information
الأقمشة,Fabrics
لسلسلة,For series
الجاكوزي,Jacuzzi
يمزحون,They joke
مضطرّاً,Forced
تربطه,You tie him up
وانتهت,And it's over
مُضحكة,Funny
نزار,Nizar
اللّحظة,The moment
النفسيه,Psychological
ديننا,Our religion
شرع,He proceeded
لثانيتين,For two seconds
تشخيصي,diagnostic
مخيبة,Disappointing
طموحك,Your ambition
ماضيي,My past
آثاراً,Traces
لدرس,For a lesson
حيله,trick
جيركو,Jericho
إصابتها,Her injury
المئوية,Centenary
يجيئون,They come
آخذهم,I take them
الإدعاءات,Allegations
المـاء,Water
أتريدها,Do you want it?
الناسك,hermit
سأغطي,I will cover
للتواجد,To exist
عجائز,Old women
الماني,German
يُمسك,He catches
المسنة,The elderly woman
سليل,Descendant
أحلامى,My dreams
ساتحدث,I will talk
منتخب,elected
كسرتها,I broke it
أفعالهم,Their actions
يشتريها,He buys it
الآ,unless
فاض,Overflowing
أنتجت,produced
ادعوني,Invite me
فضـلك,Please
الحريات,Freedoms
توبيخ,rebuke
واقعٌ,reality
سواءاً,Either
الهامش,Margin
إمساكه,Hold it
.الأمر,.command
متناسق,harmonic
التقارب,Convergence
أسقطوا,Dropped
جرّبي,Try it
المثاليّة,Idealism
كونروي,Conroy
بيدج,Page
هيجان,upheaval
ياحضرة,Hon
شرفه,balcony
ابرياء,Innocent
مخرجا,A way out
مفاجئه,Surprise
واسمها,And her name
تناولى,Eat
تشارمينغ,Charming
أتزوّج,I get married
اللباقة,Tact
هولا,Hola
أيجدر,Is it worth it?
ســ,S
ستكسر,You will break
الإلهاء,Distraction
كعامل,As a worker
كرسيه,His chair
بألوان,With colors
أمشى,I walk
سنتحقق,We will check
يسلب,Take away
ارنب,rabbit
ستبلغ,You will reach
حاسوبها,Her computer
مشقة,discomfort
نثمل,We get drunk
سجائري,My cigarettes
للرقم,For the number
يسرب,Leaking
بزيارتي,By visiting me
جهدى,My effort
الحصرية,Exclusivity
حبيسة,Trapped
فريز,Freeze
مصفوفة,Matrix
بملاحقة,By pursuit
معاينة,Preview
التعيين,Appointment
تالفة,Damaged
بأكلمه,I'm talking to him
للأعضاء,For members
الصيت,The reputation
مهاجم,attacker
كيشان,Kishan
مرشحين,Candidates
مناصب,Positions
تيبي,Tippy
أجدكِ,I find you
مشع,radiant
المهذب,Polite
إحتراق,burning
تصنت,eavesdropping
منفعلة,Excited
الضلوع,Ribs
كوكبي,planetary
كيبل,Cable
تشيني,Cheney
المُناسبة,The occasion
واخيراً,Finally
لذِهاب,To go
حجراً,A stone
أقدمت,I applied
اعتماداً,Depending
إلىَ,to
أيفان,Ivan
الشاش,gauze
إسهال,Diarrhea
لِـمَ,Why?
رحمي,uterine
بتأثير,With effect
الاخلاق,Ethics
كبدك,Your liver
شاولين,Shaolin
المتخصص,The specialist
انتقامي,My revenge
دوروتا,Dorota
لاأهتم,I'm not interested
تراجعا,They retreated
يستوعب,Understands
عجالة,haste
جيرونيمو,Geronimo
جارتك,Your neighbor
يُساعدُني,It helps me
فثمّة,There is
المساج,Massage
رتبنا,We arranged
هربتي,You ran away
أفرط,Excessive
كينجي,Kenji
إيغان,Egan
القَول,Saying
لأجعلها,To make it
وأسود,And black
الرش,Spraying
الايرلندي,Irish
أعرّفك,I know you
أفاق,Wake up
موو,Moo
إهتممت,I cared
يبيعه,Sell ​​it
وبصحة,And correctly
تأمينك,Your insurance
ننتظرها,We are waiting for her
هونك,Hunk
يفتقدك,He misses you
بيننـا,Between us
هوسك,Your obsession
ستستعيد,You will recover
بارعًا,Brilliant
يُسمّى,It is called
ضحوا,They sacrificed
بدائرة,With a circle
قصّتك,Your story
الإيميل,Email
بليز,Belize
ستذهبي,You will go
سكنت,I stayed still
المقلد,snob
يسامحني,He forgives me
دامية,Bloody
رجُلاً,A man
الشعرية,Noodles
كونيكتيكت,connecticut
مُرهق,exhausted
أبــي,My father
اغبى,Stupid
اسماعيل,Ismael
بإلتهاب,With inflammation
يشي,Yeshy
بسببكم,Because of you
النهود,The breasts
إنطباعاً,Impression
الولاده,birth
بتولي,Virginity
سيُصبح,It will become
أحلف,I swear
أقفاص,Cages
تأتينا,Come to us
أرمل,A widower
الورقه,The paper
الجنسى,Sexual
متنكر,disguised
اراقبك,I'm watching you
مايرون,Myron
يتكلموا,They talk
يلعبها,He plays it
محظوظًا,Lucky
نهايةِ,end
تزوجتِ,You got married?
افوت,I miss
كمشتبه,As a suspect
أوريون,Orion
إجابته,His answer
البرابرة,Barbarians
لوو,Wow
الإخفاق,Failure
والثلاثون,And the thirty
للتنفيذ,To implement
إجازتي,My vacation
موثقة,Notarized
الطنان,Buzzer
تجنبها,Avoid it
شابًا,Young man
إعتقالك,Arrest you
بولندي,Polish
ماتفعلينه,What you do
سكانها,Its inhabitants
اتجاهات,bearings
اتبعنى,Follow me
كشاف,searchlight
سألقى,I will throw
تاتشر,Thatcher
لجون,For John
خرافات,Myths
يفز,wins
مالهم,Their money
منظرك,Your view
مُسدّس,pistol
ثقافتنا,Our culture
تربيته,pat
يتزوجها,He marries her
بكلب,With a dog
وكانا,And they were
الحـب,Love
وننظر,And we look
أغلقته,I closed it
مغمور,immersed
حتمية,Inevitability
قوتى,My strength
المحققان,The two investigators
تشستر,Chester
لوجهه,To his face
باأنني,That I am
عمليًا,practically
يحرر,Edit
إختلقت,I made it up
سقطة,error
لراحة,For convenience
فردة,Single
الإستغناء,Letting go
طوع,Voluntarily
الخارجيه,External
بالحماية,With protection
بالمعركة,By battle
قبضتم,You got caught
عرب,Arabs
ثقِ,Trust
اتجول,I walk around
آسيوية,Asian
تكنّ,Be it
انفصلوا,They broke up
امنحنا,Grant us
وشأنى,My business
الإسكندر,Alexander
رهبة,Awe
طيّ,Fold
جدولنا,Our schedule
فبإمكاني,I can
أيديي,My hands
وودى,Woody
عقدا,A contract
إيذائها,Hurting her
أعانى,subsidiary
البولندي,Polish
بكرامة,With dignity
والبكاء,And crying
طوابع,Stamps
كران,Crane
سيءٌ,bad
كرتك,Your ball
يَدْعو,He calls
المعطيات,Data
مطمئنة,Reassuring
قدرتهم,Their ability
يفعلو,They do
تعاقبني,Punish me
الأصدقاءِ,Friends
المُعتاد,The usual
لنقتل,Let's kill
الخلفيّ,Back
بالمضرب,With a racket
وردتني,You received me
واجهي,Face it
يارجُل,Man
محامون,Lawyers
الأستديو,The studio
ديكسن,Dixon
مدينا,Medina
أُردْ,Reply
البدناء,Obese people
ماديسن,Madison
سفح,foot
بيتمان,Bateman
وأنكم,And you are
هاؤلاء,These
تقيمي,My rating
ألمه,His pain
ألبا,Alba
بوتوين,Botwin
المزمن,Chronic
أتُريدين,Do you want?
تخبركِ,She tells you
بحمام,With a bathroom
فجروا,They blew up
كوركي,Corky
يختلط,Mix
هاتشي,Hachi
وتحديد,And determine
إيصاله,Receive it
الحاسبات,Calculators
أضاجعها,I fuck her
لاختراق,To hack
أتأسف,I'm sorry
تنقطع,It breaks
ثدييك,Your breasts
مبتغاك,What you want
ستفعلينها,You will do it
تركبين,You ride
لحمام,For a bathroom
إعلم,Know
المتمردون,Rebels
u200fهذا,u200fthis
المنحرفة,Perverted
روو,Roo
ميلنر,Milner
وحدكم,Alone
كنتٌ,I was
وتجلب,And you bring
للبيسبول,For baseball
لايزا,Lisa
التلّ,The hill
تعتذرين,You apologize
استنساخ,cloning
صبورين,Be patient
معاملات,Transactions
فولفو,Volvo
تفكيرنا,Our thinking
وجدا,And very much
ناحيه,His side
مناف,Manaf
انقذتني,You saved me
تقاعدك,Your retirement
أشتريها,I buy it
قارئة,Reader
لتحدي,To challenge
يَنتظرُ,He waits
المراد,What is meant?
نريدكِ,We want you
الأستخبارات,Intelligence
إكتشفَ,find out
الإسهال,diarrhea
ديجل,Diggle
يقرأه,He reads it
تدر,Turn
التملق,Flattery
الإلغاء,Cancellation
الصّغيرة,The little one
قادتني,She led me
اطلعت,I came out
لوسيوس,Lucius
بيتريس,Beatrice
أنقذتُ,I was saved
ميدج,Midge
لحجز,To reserve
بوسكو,Bosco
لقاءنا,Our meeting
انـه,It is
معتادين,They are used to it
فسأقول,So I will say
أدمغتنا,Our brains
أرمسترونج,Armstrong
يتنفّس,He breathes
للنبيذ,For wine
لسماعها,To hear it
المواسم,Seasons
أتريدنا,Do you want us?
بنصيحة,With advice
رست,docked
دكتـور,Doctor
عرفني,He knew me
سعاده,happiness
بالخداع,By deception
بالإعلان,By advertising
ستشاهد,You will watch
الرائعون,The wonderful ones
فريقكم,Your team
أغش,I cheat
سجّلت,I registered
كرينشو,Crenshaw
جيرترود,Gertrude
تَصِلُ,You arrive
ايريكا,Erica
هوياتهم,Their identities
للكاتب,For the writer
الشبيه,The lookalike
ينوى,He intends
جراب,pod
ارهابية,Terrorist
خاسرون,Losers
مفتونة,Fascinated
المحفز,Catalyst
u200fمن,u200fof
عشاءك,Your dinner
للخداع,To deceive
كتابى,written
لوحتك,Your painting
للتظاهر,To demonstrate
حفظه,Save it
تتسكعين,You're hanging out
كباب,kebab
اخترتي,You chose
يَلْبسُ,He wears
المشبوهة,Suspicious
بيلز,Bills
كاذبا,False
قِف,Stop
تأمينه,Secure it
بمأزق,In trouble
أودرى,Audrey
تتحملي,Bear with it
لوازم,Supplies
لتعطيل,To disable
لأطلاق,To launch
محبين,Lovers
تخشي,You fear
أرشي,Archie
تسهل,Make it easy
وأحبك,And I love you
منفّذ,outlet
كالعائلة,Like family
تتخذي,Take it
مادياً,physically
مرحباُ,Welcome
أعدهم,Return them
تسحبه,You pull it
إدخالك,Your input
اشتم,smell
الفوتوغرافي,Photography
أش,Ash
تتساءلين,You wonder
وريثة,heiress
وقتلها,And he killed her
جليدية,Icy
أثقُ,I trust
بالليزر,With laser
المقاتلون,The fighters
ناشيونال,National
مايفير,Mayfair
تكملي,You continue
مارجري,Margery
الجنسِ,Sex
زنا,Adultery
زهرية,Vase
أستبعد,exclude
عمدًا,intentionally
إعتمد,I depend
جعلوك,They made you
أنهيها,Finish it
عصيبا,Hard
وتوجد,And it exists
تأذي,Hurt
للإحتياط,Just in case
وصلتَ,It arrived
اخبرونى,Tell me
فوربز,Forbes
بالتأثير,By influence
خطّتك,Your plan
تخاطرين,You take a risk
البيرو,Peru
سأتلقى,I will receive
تندمي,You regret it
ذَهبتْ,I went
يقـول,He says
الفتيـات,Girls
نعني,We mean
العنة,Impotence
معانقة,Hugging
جلستُ,I sat down
تشرّفت,Nice to meet you
باعها,He sold it
الباحثون,Researchers
أرتبط,I relate
بيمان,Biman
ياأخي,My brother
عارٍ,shame
معروفون,They are known
يتولون,They take over
تندمج,Merge
بالذاكرة,By memory
يستمروا,They continue
تارين,Taryn
بتقييم,Evaluate
أغضبك,I make you angry
حساباتنا,Our accounts
المحبين,Lovers
المراه,woman
مُخدرات,drugs
مئه,one hundred
مملين,Boring
مسكنك,Your residence
أندرسن,Andersen
الصحى,The healthy one
ضجّة,sensation
اختبأ,He hid
اقراص,Tablets
تنتظروا,You wait
إختياره,Choose it
تشرف,Honored
تريدونني,You want me?
ولع,fondness
تفصح,Disclose
رينالدو,Rinaldo
لمصلحته,For his own good
أسرهم,Capture them
واعٍ,conscious
مروعا,Horrible
ميدنايت,Midnight
وضعتم,You lost
الاسطبل,The stable
الايطالي,Italian
نجاحها,Its success
سعادتنا,Our happiness
سمعي,audio
إيمرسون,Emerson
بزوج,With a husband
وستفعل,And you will
المنظف,The cleaner
افسح,Make way
يخترع,Invents
بخيانتك,By betraying you
مستندة,Documented
مضروب,Multiplied
عسكريه,Military
إحتياجات,Needs
سأعطيهم,I will give them
لنصفين,In halves
احزمي,Pack
لتسمح,To allow
صحوت,I woke up
جافي,Javi
لأصنع,To make
التصدي,counter
أُريدكِ,I want you
اناني,selfish
مراهنات,Betting
وجاك,And Jack
والمتعة,And have fun
مساعدا,Helper
تضعهم,You put them
نكافح,We struggle
للتحليل,For analysis
لليابان,For Japan
أصواتنا,Our voices
الصهباء,Redhead
مزدهرة,Prosperous
دربي,My path
سأعودُ,I will come back
المنفردة,Single
أصدقاءنا,Our friends
المتسكع,The prowler
هاجمونا,They attacked us
نعيشها,We live it
رجولتك,Your manhood
كرهتها,I hated it
ساهتم,I will care
وسهلة,And easy
غايوس,Gaius
ربـّاه,Oh my God!
أسابيعِ,Weeks
طَلبَ,to request
إدخالها,Enter it
العلويّ,The upper one
التفرقة,Discrimination
جائزه,prize
أجدد,I renew
مضبوطة,Exactly
مشوية,Grilled
المراهقون,Teenagers
ألذ,Tastier
إرتدى,wear
طاريء,Emergency
يُعثر,He stumbles
مبتدئين,Beginners
جابا,Jabba
سأفتحه,I will open it
سيفى,My sword
دوسن,Dosen
أشكو,I complain
لجعلنا,To make us
لربح,To win
سأهتمّ,I will care
محسوب,calculated
إقبال,Iqbal
حاربوا,They fought
أَتكلّمَ,I speak
ظƒظٹ,پٹ
مُكالمة,call
الندوة,Symposium
الدكان,The shop
وأعطي,And I give
قضيناه,We spent it
أتعملين,Do you work?
ستجني,You will reap
سببَ,a reason
تجاهكِ,Towards you
تستحقينه,You deserve it
يَبقي,He stays
اشجار,Trees
للتعري,For nudity
فجّر,dawn
الحركي,Kinetic
اتابع,I follow
بإخراجك,By taking you out
تصعيد,Escalation
مبدعة,Creative
بالانتحار,By suicide
يمكنـه,He can
أمريكيون,Americans
طريقًا,A way
ماريجوانا,Marijuana
.لكي,.in order to
ليجلس,To sit down
للمخرج,For the director
نتسابق,We race
ساقاي,My legs
يؤيد,supports
عوائل,Families
أفترضت,I assumed
بشرته,His skin
الرئيسيين,The main ones
سبل,Ways
ولكنّكَ,But you
تشبهها,She looks like her
